paper_trade_id,leg_count
ase_pt_64f79423f4d24f3e,4
ase_pt_651c3abf1f1f4b08,4
ase_pt_662b1d2e3f3b4a8c,2
ase_pt_668c2de047b24014,4
ase_pt_685e2dc764044b0a,2
ase_pt_687d43cfbe23447f,3
ase_pt_68dedcd545444fa1,2
ase_pt_68e54ed88e4d421b,2
ase_pt_68eeb4f5c58f48cd,2
ase_pt_6902ab81fd5c473c,4
ase_pt_693ad4c178f244e6,2
ase_pt_69d1459f2919466e,3
ase_pt_6a0fee0e6c994c43,4
ase_pt_6a6f8dd6d8d04180,4
ase_pt_6aca195c5bfb4fb8,4
ase_pt_6b35e0a20e884b30,1
ase_pt_6bb95b5aa7244b82,2
ase_pt_6c0852ff34cc4914,2
ase_pt_6c35449f5e404fff,1
ase_pt_6c43af51552e48ae,2
ase_pt_6c50347440d247b4,2
ase_pt_6cb43827aca54901,3
ase_pt_6cbd35962d814902,2
ase_pt_6d5376710e84479f,1
ase_pt_6e3199cc0c054c4a,2
ase_pt_6edd6080f1904229,2
ase_pt_6eeb91756b384821,4
ase_pt_6eecd7dc53e44088,2
ase_pt_6fbaf19c00b54f5a,3
ase_pt_705b599905dc4225,4
ase_pt_70ff8734f7804dad,8
ase_pt_713448510d67452d,3
ase_pt_713d53f998734c95,3
ase_pt_7179b9b59f2946e7,2
ase_pt_725a2fc7d4474ae9,4
ase_pt_7306e190b47841d5,6
ase_pt_731523d79fb84a33,4
ase_pt_7321ce7d9a704a8b,2
ase_pt_73e78dcd567f42e4,2
ase_pt_745a857919564dfc,2
ase_pt_746387e359af4fd9,2
ase_pt_751823b026db4dd0,2
ase_pt_752066dea78b41bf,4
ase_pt_7535e14a6e124d94,2
ase_pt_7551bc0b96784b8d,4
ase_pt_758e90c2983f47df,3
ase_pt_75bb9bbffddc42a9,4
ase_pt_762319e20bcf4980,4
ase_pt_76488e2737934974,2
ase_pt_76bbcd4f1f4f4321,4
ase_pt_771678d014254c74,2
ase_pt_774ec411f0664b5e,2
ase_pt_77c6e57b3a1446b9,2
ase_pt_77eb0b5360724f38,4
ase_pt_7867db8a72a541c5,2
ase_pt_78a93830b36e4989,2
ase_pt_78bec6a96d964fd6,2
ase_pt_78d7474730e741f4,3
ase_pt_7904fd855b78444d,4
ase_pt_793e28749bc24fce,4
ase_pt_795a4febeaa54a0d,3
ase_pt_7973611a7c8d4405,2
ase_pt_79e593a33bc8450e,4
ase_pt_7a7c2d1c8e31410e,2
ase_pt_7a913eaa2e034493,4
ase_pt_7c1b674006aa4427,2
ase_pt_7c3c312e45784293,3
ase_pt_7c3ef7e616e149da,4
ase_pt_7c43d64b976b406e,3
ase_pt_7c98961ed462420e,2
ase_pt_7d604ae2b8b84008,3
ase_pt_7da7c3b4e64846b4,2
ase_pt_7de3ce6fbc8845a0,3
ase_pt_7de534e9fe6345cb,4
ase_pt_7f0e2dbd0444465a,2
ase_pt_7f4cbe9e07c348b3,2
ase_pt_7fdb187c20744630,3
ase_pt_80ab7cc88064422c,2
ase_pt_80b5cd91d5bc4242,3
ase_pt_80b9c058175a4c61,2
ase_pt_81456c16dc9141dc,2
ase_pt_81d385620a0340d0,2
ase_pt_81d56157029f4bbc,3
ase_pt_81f372c0b5194ee7,2
ase_pt_82123c62b1164c60,1
ase_pt_824858ba1134432d,2
ase_pt_82ada73b5e58432a,2
