id,paper_trade_id,mid_status,delta_status,ratio_status
225,ase_pt_bce325b6dbd949b5,NOT NULL,NOT NULL,NOT NULL
226,ase_pt_57079b3931a14d23,NOT NULL,NOT NULL,NOT NULL
227,ase_pt_57079b3931a14d23,NOT NULL,NOT NULL,NOT NULL
228,ase_pt_57079b3931a14d23,NOT NULL,NOT NULL,NOT NULL
229,ase_pt_57079b3931a14d23,NOT NULL,NOT NULL,NOT NULL
230,ase_pt_b2ca50de093b4563,NOT NULL,NOT NULL,NOT NULL
231,ase_pt_b2ca50de093b4563,NOT NULL,NOT NULL,NOT NULL
232,ase_pt_b2ca50de093b4563,NOT NULL,NOT NULL,NOT NULL
233,ase_pt_b2ca50de093b4563,NOT NULL,NOT NULL,NOT NULL
234,ase_pt_c7a2f3b519e24441,NOT NULL,NOT NULL,NOT NULL
235,ase_pt_c7a2f3b519e24441,NOT NULL,NOT NULL,NOT NULL
236,ase_pt_c7a2f3b519e24441,NOT NULL,NOT NULL,NOT NULL
237,ase_pt_c7a2f3b519e24441,NOT NULL,NOT NULL,NOT NULL
238,ase_pt_2fc2f3bd813c4201,NOT NULL,NOT NULL,NOT NULL
239,ase_pt_2fc2f3bd813c4201,NOT NULL,NOT NULL,NOT NULL
240,ase_pt_2fc2f3bd813c4201,NOT NULL,NOT NULL,NOT NULL
241,ase_pt_001f7af9440e43f5,NOT NULL,NOT NULL,NOT NULL
242,ase_pt_001f7af9440e43f5,NOT NULL,NOT NULL,NOT NULL
243,ase_pt_001f7af9440e43f5,NOT NULL,NOT NULL,NOT NULL
244,ase_pt_f7e0e8d95161439f,NOT NULL,NOT NULL,NOT NULL
245,ase_pt_f7e0e8d95161439f,NOT NULL,NOT NULL,NOT NULL
246,ase_pt_f7e0e8d95161439f,NOT NULL,NOT NULL,NOT NULL
247,ase_pt_f7e0e8d95161439f,NOT NULL,NOT NULL,NOT NULL
248,ase_pt_61db83e800514e09,NOT NULL,NOT NULL,NOT NULL
249,ase_pt_61db83e800514e09,NOT NULL,NOT NULL,NOT NULL
250,ase_pt_61db83e800514e09,NOT NULL,NOT NULL,NOT NULL
251,ase_pt_6117d75ace464771,NOT NULL,NOT NULL,NOT NULL
252,ase_pt_6117d75ace464771,NOT NULL,NOT NULL,NOT NULL
253,ase_pt_6117d75ace464771,NOT NULL,NOT NULL,NOT NULL
254,ase_pt_713448510d67452d,NOT NULL,NOT NULL,NOT NULL
255,ase_pt_713448510d67452d,NOT NULL,NOT NULL,NOT NULL
256,ase_pt_713448510d67452d,NOT NULL,NOT NULL,NOT NULL
257,ase_pt_5bab2972c84849cd,NOT NULL,NOT NULL,NOT NULL
258,ase_pt_5bab2972c84849cd,NOT NULL,NOT NULL,NOT NULL
259,ase_pt_5bab2972c84849cd,NOT NULL,NOT NULL,NOT NULL
260,ase_pt_d6e7b562298d4374,NOT NULL,NOT NULL,NOT NULL
261,ase_pt_d6e7b562298d4374,NOT NULL,NOT NULL,NOT NULL
262,ase_pt_d6e7b562298d4374,NOT NULL,NOT NULL,NOT NULL
263,ase_pt_b592a8277a61404c,NOT NULL,NOT NULL,NOT NULL
264,ase_pt_b592a8277a61404c,NOT NULL,NOT NULL,NOT NULL
265,ase_pt_b592a8277a61404c,NOT NULL,NOT NULL,NOT NULL
266,ase_pt_071adb86c61641aa,NOT NULL,NOT NULL,NOT NULL
267,ase_pt_071adb86c61641aa,NOT NULL,NOT NULL,NOT NULL
268,ase_pt_071adb86c61641aa,NOT NULL,NOT NULL,NOT NULL
269,ase_pt_071adb86c61641aa,NOT NULL,NOT NULL,NOT NULL
270,ase_pt_071adb86c61641aa,NOT NULL,NOT NULL,NOT NULL
271,ase_pt_071adb86c61641aa,NOT NULL,NOT NULL,NOT NULL
272,ase_pt_81d56157029f4bbc,NOT NULL,NOT NULL,NOT NULL
273,ase_pt_81d56157029f4bbc,NOT NULL,NOT NULL,NOT NULL
274,ase_pt_81d56157029f4bbc,NOT NULL,NOT NULL,NOT NULL
275,ase_pt_48205beec76749a1,NOT NULL,NOT NULL,NOT NULL
276,ase_pt_48205beec76749a1,NOT NULL,NOT NULL,NOT NULL
277,ase_pt_48205beec76749a1,NOT NULL,NOT NULL,NOT NULL
278,ase_pt_0dd0cca698e3471b,NOT NULL,NOT NULL,NOT NULL
279,ase_pt_0dd0cca698e3471b,NOT NULL,NOT NULL,NOT NULL
280,ase_pt_0dd0cca698e3471b,NOT NULL,NOT NULL,NOT NULL
281,ase_pt_0dd0cca698e3471b,NOT NULL,NOT NULL,NOT NULL
282,ase_pt_32be02a6f8b348be,NOT NULL,NOT NULL,NOT NULL
283,ase_pt_32be02a6f8b348be,NOT NULL,NOT NULL,NOT NULL
284,ase_pt_32be02a6f8b348be,NOT NULL,NOT NULL,NOT NULL
285,ase_pt_32be02a6f8b348be,NOT NULL,NOT NULL,NOT NULL
286,ase_pt_2af95b3f1e834dbb,NOT NULL,NOT NULL,NOT NULL
287,ase_pt_2af95b3f1e834dbb,NOT NULL,NOT NULL,NOT NULL
288,ase_pt_2af95b3f1e834dbb,NOT NULL,NOT NULL,NOT NULL
289,ase_pt_2af95b3f1e834dbb,NOT NULL,NOT NULL,NOT NULL
290,ase_pt_24d5f67c97a24cf4,NOT NULL,NOT NULL,NOT NULL
291,ase_pt_24d5f67c97a24cf4,NOT NULL,NOT NULL,NOT NULL
292,ase_pt_24d5f67c97a24cf4,NOT NULL,NOT NULL,NOT NULL
293,ase_pt_24d5f67c97a24cf4,NOT NULL,NOT NULL,NOT NULL
294,ase_pt_651c3abf1f1f4b08,NOT NULL,NOT NULL,NOT NULL
295,ase_pt_651c3abf1f1f4b08,NOT NULL,NOT NULL,NOT NULL
296,ase_pt_651c3abf1f1f4b08,NOT NULL,NOT NULL,NOT NULL
